dewpt,heatIndex,humidity,preassure,precipRate,precipTotal,pressure,temp,timestamp,windChill,windGust,windSpeed
3,8,75,,0.0,0.0,1022.01,8,2025-11-11 01:39:53,8,0,0
3,8,75,,0.0,0.0,1022.01,8,2025-11-11 01:45:34,7,8,7
4,8,76,,0.0,0.0,1022.01,8,2025-11-11 02:00:35,8,4,4
4,8,77,,0.0,0.0,1021.0,8,2025-11-11 02:15:37,8,0,0
2,20,31,,0.0,0.0,1016.93,20,2025-11-11 17:16:19,20,2,2
2,20,31,,0.0,0.0,1016.93,20,2025-11-11 17:23:31,20,9,8
2,20,31,,0.0,0.0,1016.93,20,2025-11-11 17:24:38,20,4,4
1,19,30,,0.0,0.0,1016.93,19,2025-11-11 17:39:39,19,7,6
0,18,30,,0.0,0.0,1016.93,18,2025-11-11 17:54:41,18,7,7
3,14,45,1017.95,0.0,0.0,1017.95,14,2025-11-11 20:30:28,14,0,0
2,14,46,,0.0,0.0,1017.95,14,2025-11-11 20:49:14,14,0,0
2,13,47,,0.0,0.0,1018.96,13,2025-11-11 21:04:16,13,0,0
