dewpt,heatIndex,humidity,precipRate,precipTotal,pressure,temp,timestamp,windChill,windGust,windSpeed
6,16,50,0.0,0.0,1015.92,16,2025-11-19 01:10:15,16,0,0
6,18,46,0.0,0.0,1015.92,18,2025-11-19 01:25:17,18,6,5
6,18,46,0.0,0.0,1015.92,18,2025-11-19 01:40:19,18,0,0
6,18,47,0.0,0.0,1015.92,18,2025-11-19 01:55:22,18,2,2
4,20,36,0.0,0.0,1014.9,20,2025-11-19 20:41:09,20,4,4
5,20,39,0.0,0.0,1015.92,20,2025-11-19 20:56:12,20,3,3
5,19,40,0.0,0.0,1015.92,19,2025-11-19 21:11:15,19,7,6
6,19,44,0.0,0.0,1015.92,19,2025-11-19 21:28:04,19,3,3
7,18,48,0.0,0.0,1015.92,18,2025-11-19 21:43:07,18,3,3
9,17,59,0.0,0.0,1016.93,17,2025-11-19 22:59:08,17,3,3
10,17,63,0.0,0.0,1016.93,17,2025-11-19 23:14:10,17,5,5
10,17,63,0.0,0.0,1016.93,17,2025-11-19 23:29:12,17,2,2
10,17,67,0.0,0.0,1016.93,17,2025-11-19 23:44:14,17,0,0
11,16,72,0.0,0.0,1016.93,16,2025-11-19 23:59:16,16,0,0
